Sl.no,BandGap(eV),Intensity(mW/cm2),pH,Electrolyte Molarity (M), RHE bias (V vs RHE),PhotocurrentDensity(A/m2),PhotocurrentDensity(mA/cm2)
0,2.11,300,13.6,1,0.8,142.7999697,14.27999697
1,2.11,300,13.6,1,0.805,145.6279664,14.56279664
2,2.11,300,13.6,1,0.81,148.4020817,14.84020817
3,2.11,300,13.6,1,0.815,151.1252828,15.11252828
4,2.11,300,13.6,1,0.82,153.8002743,15.38002743
5,2.11,300,13.6,1,0.825,156.4295292,15.64295292
6,2.11,300,13.6,1,0.83,159.0153165,15.90153165
7,2.11,300,13.6,1,0.835,161.5597231,16.15597231
8,2.11,300,13.6,1,0.84,164.0646744,16.40646744
9,2.11,300,13.6,1,0.845,166.5319508,16.65319508
10,2.11,300,13.6,1,0.85,168.9632028,16.89632028
11,2.11,300,13.6,1,0.855,171.3599637,17.13599637
12,2.11,300,13.6,1,0.86,173.723661,17.3723661
13,2.11,300,13.6,1,0.865,176.0556266,17.60556266
14,2.11,300,13.6,1,0.87,178.357105,17.8357105
15,2.11,300,13.6,1,0.875,180.6292616,18.06292616
16,2.11,300,13.6,1,0.88,182.8731894,18.28731894
17,2.11,300,13.6,1,0.885,185.0899151,18.50899151
18,2.11,300,13.6,1,0.89,187.2804045,18.72804045
19,2.11,300,13.6,1,0.895,189.4455678,18.94455678
20,2.11,300,13.6,1,0.9,191.5862637,19.15862637
21,2.11,300,13.6,1,0.905,193.7033032,19.37033032
22,2.11,300,13.6,1,0.91,195.7974539,19.57974539
23,2.11,300,13.6,1,0.915,197.8694423,19.78694423
24,2.11,300,13.6,1,0.92,199.9199576,19.99199576
25,2.11,300,13.6,1,0.925,201.9496539,20.19496539
26,2.11,300,13.6,1,0.93,203.9591527,20.39591527
27,2.11,300,13.6,1,0.935,205.9490452,20.59490452
28,2.11,300,13.6,1,0.94,207.9198943,20.79198943
29,2.11,300,13.6,1,0.945,209.8722367,20.98722367
30,2.11,300,13.6,1,0.95,211.8065839,21.18065839
31,2.11,300,13.6,1,0.955,213.7234246,21.37234246
32,2.11,300,13.6,1,0.96,215.6232257,21.56232257
33,2.11,300,13.6,1,0.965,217.5064338,21.75064338
34,2.11,300,13.6,1,0.97,219.373476,21.9373476
35,2.11,300,13.6,1,0.975,221.2247618,22.12247618
36,2.11,300,13.6,1,0.98,223.0606834,22.30606834
37,2.11,300,13.6,1,0.985,224.8816172,22.48816172
38,2.11,300,13.6,1,0.99,226.6879243,22.66879243
39,2.11,300,13.6,1,0.995,228.4799515,22.84799515
40,2.11,300,13.6,1,1,230.2580325,23.02580325
41,2.11,300,13.6,1,1.005,232.0224876,23.20224876
42,2.11,300,13.6,1,1.01,233.7736256,23.37736256
43,2.11,300,13.6,1,1.015,235.5117434,23.55117434
44,2.11,300,13.6,1,1.02,237.2371272,23.72371272
45,2.11,300,13.6,1,1.025,238.9500529,23.89500529
46,2.11,300,13.6,1,1.03,240.6507865,24.06507865
47,2.11,300,13.6,1,1.035,242.3395847,24.23395847
48,2.11,300,13.6,1,1.04,244.0166952,24.40166952
49,2.11,300,13.6,1,1.045,245.6823575,24.56823575
50,2.11,300,13.6,1,1.05,247.3368029,24.73368029
51,2.11,300,13.6,1,1.055,248.9802549,24.89802549
52,2.11,300,13.6,1,1.06,250.6129298,25.06129298
53,2.11,300,13.6,1,1.065,252.2350369,25.22350369
54,2.11,300,13.6,1,1.07,253.8467787,25.38467787
55,2.11,300,13.6,1,1.075,255.4483516,25.54483516
56,2.11,300,13.6,1,1.08,257.0399455,25.70399455
57,2.11,300,13.6,1,1.085,258.6217447,25.86217447
58,2.11,300,13.6,1,1.09,260.1939278,26.01939278
59,2.11,300,13.6,1,1.095,261.7566682,26.17566682
60,2.11,300,13.6,1,1.1,263.3101339,26.33101339
61,2.11,300,13.6,1,1.105,264.8544881,26.48544881
62,2.11,300,13.6,1,1.11,266.3898893,26.63898893
63,2.11,300,13.6,1,1.115,267.9164914,26.79164914
64,2.11,300,13.6,1,1.12,269.434444,26.9434444
65,2.11,300,13.6,1,1.125,270.9438925,27.09438925
66,2.11,300,13.6,1,1.13,272.4449781,27.24449781
67,2.11,300,13.6,1,1.135,273.9378385,27.39378385
68,2.11,300,13.6,1,1.14,275.4226073,27.54226073
69,2.11,300,13.6,1,1.145,276.8994147,27.68994147
70,2.11,300,13.6,1,1.15,278.3683875,27.83683875
71,2.11,300,13.6,1,1.155,279.8296489,27.98296489
72,2.11,300,13.6,1,1.16,281.2833192,28.12833192
73,2.11,300,13.6,1,1.165,282.7295154,28.27295154
74,2.11,300,13.6,1,1.17,284.1683518,28.41683518
75,2.11,300,13.6,1,1.175,285.5999394,28.55999394
76,2.11,300,13.6,1,1.18,287.0243869,28.70243869
77,2.11,300,13.6,1,1.185,288.4417999,28.84417999
78,2.11,300,13.6,1,1.19,289.8522816,28.98522816
79,2.11,300,13.6,1,1.195,291.2559329,29.12559329
80,2.11,300,13.6,1,1.2,292.6528518,29.26528518
81,2.11,300,13.6,1,1.205,294.0431345,29.40431345
82,2.11,300,13.6,1,1.21,295.4268745,29.54268745
83,2.11,300,13.6,1,1.215,296.8041634,29.68041634
84,2.11,300,13.6,1,1.22,298.1750907,29.81750907
85,2.11,300,13.6,1,1.225,299.5397435,29.95397435
86,2.11,300,13.6,1,1.23,300.8982074,30.08982074
87,2.11,300,13.6,1,1.235,302.2505657,30.22505657
88,2.11,300,13.6,1,1.24,303.5969,30.35969
89,2.11,300,13.6,1,1.245,304.9372902,30.49372902
90,2.11,300,13.6,1,1.25,306.2718143,30.62718143
91,2.11,300,13.6,1,1.255,307.6005486,30.76005486
92,2.11,300,13.6,1,1.26,308.9235678,30.89235678
93,2.11,300,13.6,1,1.265,310.240945,31.0240945
