,BandGap(eV),Intensity(mW/cm2),pH,Electrolyte Molarity (M), RHE bias (V vs RHE),jph,PhotocurrentDensity(mA/cm2)
0,2.11,300,13.6,1,0.8,0.006749291,0.000674929
1,2.11,300,13.6,1,0.805,0.00738655,0.000738655
2,2.11,300,13.6,1,0.81,0.008078843,0.000807884
3,2.11,300,13.6,1,0.815,0.008830826,0.000883083
4,2.11,300,13.6,1,0.82,0.009647536,0.000964754
5,2.11,300,13.6,1,0.825,0.010534424,0.001053442
6,2.11,300,13.6,1,0.83,0.011497388,0.001149739
7,2.11,300,13.6,1,0.835,0.012542812,0.001254281
8,2.11,300,13.6,1,0.84,0.013677599,0.00136776
9,2.11,300,13.6,1,0.845,0.01490922,0.001490922
10,2.11,300,13.6,1,0.85,0.016245757,0.001624576
11,2.11,300,13.6,1,0.855,0.017695948,0.001769595
12,2.11,300,13.6,1,0.86,0.019269249,0.001926925
13,2.11,300,13.6,1,0.865,0.020975881,0.002097588
14,2.11,300,13.6,1,0.87,0.0228269,0.00228269
15,2.11,300,13.6,1,0.875,0.024834257,0.002483426
16,2.11,300,13.6,1,0.88,0.027010871,0.002701087
17,2.11,300,13.6,1,0.885,0.02937071,0.002937071
18,2.11,300,13.6,1,0.89,0.031928866,0.003192887
19,2.11,300,13.6,1,0.895,0.034701649,0.003470165
20,2.11,300,13.6,1,0.9,0.037706681,0.003770668
21,2.11,300,13.6,1,0.905,0.040962997,0.0040963
22,2.11,300,13.6,1,0.91,0.044491157,0.004449116
23,2.11,300,13.6,1,0.915,0.048313364,0.004831336
24,2.11,300,13.6,1,0.92,0.052453588,0.005245359
25,2.11,300,13.6,1,0.925,0.056937704,0.00569377
26,2.11,300,13.6,1,0.93,0.061793638,0.006179364
27,2.11,300,13.6,1,0.935,0.067051519,0.006705152
28,2.11,300,13.6,1,0.94,0.072743849,0.007274385
29,2.11,300,13.6,1,0.945,0.078905679,0.007890568
30,2.11,300,13.6,1,0.95,0.085574797,0.00855748
31,2.11,300,13.6,1,0.955,0.092791933,0.009279193
32,2.11,300,13.6,1,0.96,0.100600971,0.010060097
33,2.11,300,13.6,1,0.965,0.10904918,0.010904918
34,2.11,300,13.6,1,0.97,0.118187455,0.011818746
35,2.11,300,13.6,1,0.975,0.128070575,0.012807058
36,2.11,300,13.6,1,0.98,0.138757475,0.013875747
37,2.11,300,13.6,1,0.985,0.150311531,0.015031153
38,2.11,300,13.6,1,0.99,0.162800867,0.016280087
39,2.11,300,13.6,1,0.995,0.176298669,0.017629867
40,2.11,300,13.6,1,1,0.19088352,0.019088352
41,2.11,300,13.6,1,1.005,0.206639747,0.020663975
42,2.11,300,13.6,1,1.01,0.223657785,0.022365778
43,2.11,300,13.6,1,1.015,0.242034552,0.024203455
44,2.11,300,13.6,1,1.02,0.261873837,0.026187384
45,2.11,300,13.6,1,1.025,0.283286701,0.02832867
46,2.11,300,13.6,1,1.03,0.306391881,0.030639188
47,2.11,300,13.6,1,1.035,0.331316207,0.033131621
48,2.11,300,13.6,1,1.04,0.358195014,0.035819501
49,2.11,300,13.6,1,1.045,0.387172562,0.038717256
50,2.11,300,13.6,1,1.05,0.418402438,0.041840244
51,2.11,300,13.6,1,1.055,0.452047961,0.045204796
52,2.11,300,13.6,1,1.06,0.488282552,0.048828255
53,2.11,300,13.6,1,1.065,0.527290092,0.052729009
54,2.11,300,13.6,1,1.07,0.569265235,0.056926524
55,2.11,300,13.6,1,1.075,0.614413684,0.061441368
56,2.11,300,13.6,1,1.08,0.662952398,0.06629524
57,2.11,300,13.6,1,1.085,0.71510974,0.071510974
58,2.11,300,13.6,1,1.09,0.771125531,0.077112553
59,2.11,300,13.6,1,1.095,0.831251008,0.083125101
60,2.11,300,13.6,1,1.1,0.895748656,0.089574866
61,2.11,300,13.6,1,1.105,0.964891903,0.09648919
62,2.11,300,13.6,1,1.11,1.038964654,0.103896465
63,2.11,300,13.6,1,1.115,1.118260641,0.111826064
64,2.11,300,13.6,1,1.12,1.203082565,0.120308256
65,2.11,300,13.6,1,1.125,1.293741007,0.129374101
66,2.11,300,13.6,1,1.13,1.390553086,0.139055309
67,2.11,300,13.6,1,1.135,1.493840834,0.149384083
68,2.11,300,13.6,1,1.14,1.603929272,0.160392927
69,2.11,300,13.6,1,1.145,1.721144162,0.172114416
70,2.11,300,13.6,1,1.15,1.845809425,0.184580943
71,2.11,300,13.6,1,1.155,1.978244201,0.19782442
72,2.11,300,13.6,1,1.16,2.118759557,0.211875956
73,2.11,300,13.6,1,1.165,2.267654839,0.226765484
74,2.11,300,13.6,1,1.17,2.425213672,0.242521367
75,2.11,300,13.6,1,1.175,2.591699645,0.259169964
76,2.11,300,13.6,1,1.18,2.767351698,0.27673517
77,2.11,300,13.6,1,1.185,2.952379264,0.295237926
78,2.11,300,13.6,1,1.19,3.146957234,0.314695723
79,2.11,300,13.6,1,1.195,3.351220812,0.335122081
80,2.11,300,13.6,1,1.2,3.565260356,0.356526036
81,2.11,300,13.6,1,1.205,3.789116315,0.378911631
82,2.11,300,13.6,1,1.21,4.022774383,0.402277438
83,2.11,300,13.6,1,1.215,4.266160999,0.4266161
84,2.11,300,13.6,1,1.22,4.519139335,0.451913933
85,2.11,300,13.6,1,1.225,4.781505921,0.478150592
86,2.11,300,13.6,1,1.23,5.052988046,0.505298805
87,2.11,300,13.6,1,1.235,5.333242074,0.533324207
88,2.11,300,13.6,1,1.24,5.621852802,0.56218528
89,2.11,300,13.6,1,1.245,5.918333962,0.591833396
90,2.11,300,13.6,1,1.25,6.22212994,0.622212994
91,2.11,300,13.6,1,1.255,6.53261878,0.653261878
92,2.11,300,13.6,1,1.26,6.849116448,0.684911645
93,2.11,300,13.6,1,1.265,7.170882365,0.717088236
94,2.11,300,13.6,1,1.27,7.497126108,0.749712611
95,2.11,300,13.6,1,1.275,7.827015177,0.782701518
96,2.11,300,13.6,1,1.28,8.159683678,0.815968368
97,2.11,300,13.6,1,1.285,8.494241729,0.849424173
