Bibliography,Instance number,First Layer,WE area(cm2),Power(W),Intensity(mW/cm2),AM1.5G,Electrolyte Molarity (M),pH,BandGap(eV),Experimental Bias (V),correction factor, RHE bias (V vs RHE),PhotocurrentDensity(mA/cm2)
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",1,WO3,1,300,100,1,0.1,7.1,2.25,0.40893,0,0.40893,-0.19239
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",2,WO3,1,300,100,1,0.1,7.1,2.25,0.40591,0,0.40591,-0.29164
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",3,WO3,1,300,100,1,0.1,7.1,2.25,0.41301,0,0.41301,-0.09099
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",4,WO3,1,300,100,1,0.1,7.1,2.25,0.42086,0,0.42086,-0.0107
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",5,WO3,1,300,100,1,0.1,7.1,2.25,0.42814,0,0.42814,0.02856
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",6,WO3,1,300,100,1,0.1,7.1,2.25,0.4444,0,0.4444,0.04476
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",7,WO3,1,300,100,1,0.1,7.1,2.25,0.45673,0,0.45673,0.05685
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",8,WO3,1,300,100,1,0.1,7.1,2.25,0.46907,0,0.46907,0.06097
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",9,WO3,1,300,100,1,0.1,7.1,2.25,0.4814,0,0.4814,0.06097
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",10,WO3,1,300,100,1,0.1,7.1,2.25,0.49373,0,0.49373,0.06097
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",11,WO3,1,300,100,1,0.1,7.1,2.25,0.50607,0,0.50607,0.05714
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",12,WO3,1,300,100,1,0.1,7.1,2.25,0.5184,0,0.5184,0.05449
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",13,WO3,1,300,100,1,0.1,7.1,2.25,0.53073,0,0.53073,0.05007
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",14,WO3,1,300,100,1,0.1,7.1,2.25,0.54307,0,0.54307,0.048
"Zheng, G., Jiang, S., Cai, M., Zhang, F., & Yu, H. (2024). WO3/FeOOH heterojunction for improved charge carrier separation and efficient photoelectrochemical water splitting. Journal of Alloys and Compounds, 173637.",15,WO3,1,300,100,1,0.1,7.1,2.25,0.5554,0,0.5554,0.04211
