Bibliography,Instance number,First Layer,WE area(cm2),Power(W),Intensity(mW/cm2),AM1.5G,Electrolyte Molarity (M),pH,BandGap(eV),Experimental Bias (V),correction factor, RHE bias (V vs RHE),PhotocurrentDensity(mA/cm2)
"Kim, Sujeong, et al. ""Solar Driven 15.7% Hydrogen Conversion by Harmony of Light Harvesting, Electron Transporting Bridge, and S‐Defection in a Self‐Assembled Microscale CuS/rGO/CP Photoanode."" Energy & Environmental Materials 7.3 (2024): e12631.",1,Cus ,1,150,100,0,0.1,14,1.36,0.68218,0,0.68218,0.055857
"Kim, Sujeong, et al. ""Solar Driven 15.7% Hydrogen Conversion by Harmony of Light Harvesting, Electron Transporting Bridge, and S‐Defection in a Self‐Assembled Microscale CuS/rGO/CP Photoanode."" Energy & Environmental Materials 7.3 (2024): e12631.",2,Cus ,1,150,100,0,0.1,14,1.36,0.70544,0,0.70544,0.061728
"Kim, Sujeong, et al. ""Solar Driven 15.7% Hydrogen Conversion by Harmony of Light Harvesting, Electron Transporting Bridge, and S‐Defection in a Self‐Assembled Microscale CuS/rGO/CP Photoanode."" Energy & Environmental Materials 7.3 (2024): e12631.",3,Cus ,1,150,100,0,0.1,14,1.36,0.73577,0,0.73577,0.055857
"Kim, Sujeong, et al. ""Solar Driven 15.7% Hydrogen Conversion by Harmony of Light Harvesting, Electron Transporting Bridge, and S‐Defection in a Self‐Assembled Microscale CuS/rGO/CP Photoanode."" Energy & Environmental Materials 7.3 (2024): e12631.",4,Cus ,1,150,100,0,0.1,14,1.36,0.7561,0,0.7561,0.055857
"Kim, Sujeong, et al. ""Solar Driven 15.7% Hydrogen Conversion by Harmony of Light Harvesting, Electron Transporting Bridge, and S‐Defection in a Self‐Assembled Microscale CuS/rGO/CP Photoanode."" Energy & Environmental Materials 7.3 (2024): e12631.",5,Cus ,1,150,100,0,0.1,14,1.36,0.77643,0,0.77643,0.055857
"Kim, Sujeong, et al. ""Solar Driven 15.7% Hydrogen Conversion by Harmony of Light Harvesting, Electron Transporting Bridge, and S‐Defection in a Self‐Assembled Microscale CuS/rGO/CP Photoanode."" Energy & Environmental Materials 7.3 (2024): e12631.",6,Cus ,1,150,100,0,0.1,14,1.36,0.79676,0,0.79676,0.055857
"Kim, Sujeong, et al. ""Solar Driven 15.7% Hydrogen Conversion by Harmony of Light Harvesting, Electron Transporting Bridge, and S‐Defection in a Self‐Assembled Microscale CuS/rGO/CP Photoanode."" Energy & Environmental Materials 7.3 (2024): e12631.",7,Cus ,1,150,100,0,0.1,14,1.36,0.81708,0,0.81708,0.055857
"Kim, Sujeong, et al. ""Solar Driven 15.7% Hydrogen Conversion by Harmony of Light Harvesting, Electron Transporting Bridge, and S‐Defection in a Self‐Assembled Microscale CuS/rGO/CP Photoanode."" Energy & Environmental Materials 7.3 (2024): e12631.",8,Cus ,1,150,100,0,0.1,14,1.36,0.83741,0,0.83741,0.055857
"Kim, Sujeong, et al. ""Solar Driven 15.7% Hydrogen Conversion by Harmony of Light Harvesting, Electron Transporting Bridge, and S‐Defection in a Self‐Assembled Microscale CuS/rGO/CP Photoanode."" Energy & Environmental Materials 7.3 (2024): e12631.",9,Cus ,1,150,100,0,0.1,14,1.36,0.85774,0,0.85774,0.063726
"Kim, Sujeong, et al. ""Solar Driven 15.7% Hydrogen Conversion by Harmony of Light Harvesting, Electron Transporting Bridge, and S‐Defection in a Self‐Assembled Microscale CuS/rGO/CP Photoanode."" Energy & Environmental Materials 7.3 (2024): e12631.",10,Cus ,1,150,100,0,0.1,14,1.36,0.8753,0,0.8753,0.080201
"Kim, Sujeong, et al. ""Solar Driven 15.7% Hydrogen Conversion by Harmony of Light Harvesting, Electron Transporting Bridge, and S‐Defection in a Self‐Assembled Microscale CuS/rGO/CP Photoanode."" Energy & Environmental Materials 7.3 (2024): e12631.",11,Cus ,1,150,100,0,0.1,14,1.36,0.89786,0,0.89786,0.12346
"Kim, Sujeong, et al. ""Solar Driven 15.7% Hydrogen Conversion by Harmony of Light Harvesting, Electron Transporting Bridge, and S‐Defection in a Self‐Assembled Microscale CuS/rGO/CP Photoanode."" Energy & Environmental Materials 7.3 (2024): e12631.",12,Cus ,1,150,100,0,0.1,14,1.36,0.92158,0,0.92158,0.12346
