Bibliography,Instance number,First Layer,WE area(cm2),Power(W),Intensity(mW/cm2),AM1.5G,Electrolyte Molarity (M),pH,BandGap(eV),Experimental Bias (V),correction factor, RHE bias (V vs RHE),PhotocurrentDensity(mA/cm2)
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",1,neat BiVO4,0.28,500,100,0,0.1,7,2.47,0.5701,0,0.5701,0.0803
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",2,neat BiVO4,0.28,500,100,0,0.1,7,2.47,0.6138,0,0.6138,0.1696
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",3,neat BiVO4,0.28,500,100,0,0.1,7,2.47,0.6515,0,0.6515,0.2838
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",4,neat BiVO4,0.28,500,100,0,0.1,7,2.47,0.6798,0,0.6798,0.3854
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",5,neat BiVO4,0.28,500,100,0,0.1,7,2.47,0.7032,0,0.7032,0.4844
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",6,neat BiVO4,0.28,500,100,0,0.1,7,2.47,0.731,0,0.731,0.6006
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",7,neat BiVO4,0.28,500,100,0,0.1,7,2.47,0.7668,0,0.7668,0.708
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",8,neat BiVO4,0.28,500,100,0,0.1,7,2.47,0.7986,0,0.7986,0.8088
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",9,neat BiVO4,0.28,500,100,0,0.1,7,2.47,0.8284,0,0.8284,0.9064
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",10,neat BiVO4,0.28,500,100,0,0.1,7,2.47,0.8622,0,0.8622,0.9972
