Bibliography,Instance number,WE area(cm2),Power(W),Wavelength(nm),Intensity(mW/cm2),AM1.5G,Electrolyte Molarity (M),pH,BandGap(eV),Experimental Bias (V),correction factor, RHE bias (V vs RHE),PhotocurrentDensity(mA/cm2)
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",1,0.38,300,410,100,1,1,13.6,1.99,0.7757,0,0.7757,0.001969
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",2,0.38,300,410,100,1,1,13.6,1.99,0.7884,0,0.7884,0.02008
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",3,0.38,300,410,100,1,1,13.6,1.99,0.8032,0,0.8032,0.01877
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",4,0.38,300,410,100,1,1,13.6,1.99,0.8167,0,0.8167,0.03206
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",5,0.38,300,410,100,1,1,13.6,1.99,0.8305,0,0.8305,0.04087
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",6,0.38,300,410,100,1,1,13.6,1.99,0.8436,0,0.8436,0.04955
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",7,0.38,300,410,100,1,1,13.6,1.99,0.8571,0,0.8571,0.06188
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",8,0.38,300,410,100,1,1,13.6,1.99,0.8706,0,0.8706,0.07571
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",9,0.38,300,410,100,1,1,13.6,1.99,0.8841,0,0.8841,0.092
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",10,0.38,300,410,100,1,1,13.6,1.99,0.8974,0,0.8974,0.1083
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",11,0.38,300,410,100,1,1,13.6,1.99,0.9109,0,0.9109,0.1274
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",12,0.38,300,410,100,1,1,13.6,1.99,0.9243,0,0.9243,0.1475
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",13,0.38,300,410,100,1,1,13.6,1.99,0.9378,0,0.9378,0.1687
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",14,0.38,300,410,100,1,1,13.6,1.99,0.9513,0,0.9513,0.1926
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",15,0.38,300,410,100,1,1,13.6,1.99,0.9647,0,0.9647,0.2165
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",16,0.38,300,410,100,1,1,13.6,1.99,0.9782,0,0.9782,0.2432
"Zhang, Zi-Han, et al. ""Extremely low onset potential of modified Fe2O3 photoanode for water oxidation."" Applied Surface Science 642 (2024): 158597.",17,0.38,300,410,100,1,1,13.6,1.99,0.9916,0,0.9916,0.2709
