,Unnamed: 0,Reference,Bibliography,Instance number,First Layer,Counter Electrode,Reference Electrode,WE area(cm2),Power(W),Wavelength(nm),Intensity(mW/cm2),AM1.5G,ElectrolyteType,Electrolyte Molarity (M),pH,BandGap(eV),Bias vs what,Experimental Bias (V),correction factor, RHE bias (V vs RHE),PhotocurrentDensity(mA/cm2)
0,33,2,"Wang P, Wang D, Lin J, Li X, Peng C, Gao X, et al. Lattice defect-enhanced hydrogen production in nanostructured hematite-based photoelectrochemical device. ACS Appl Mater Interfaces 2012;4:2295–301. https://doi.org/10.1021/am300395p.",301,FeO,Pt,Ag/AgCl,0.5,300,410,100,0,NaOH,1,13.6,1.85,RHE,0.604,0,0.604,-0.000303
1,34,2,"Wang P, Wang D, Lin J, Li X, Peng C, Gao X, et al. Lattice defect-enhanced hydrogen production in nanostructured hematite-based photoelectrochemical device. ACS Appl Mater Interfaces 2012;4:2295–301. https://doi.org/10.1021/am300395p.",301,FeO,Pt,Ag/AgCl,0.5,300,410,100,0,NaOH,1,13.6,1.85,RHE,0.71,0,0.71,0.0132
2,35,2,"Wang P, Wang D, Lin J, Li X, Peng C, Gao X, et al. Lattice defect-enhanced hydrogen production in nanostructured hematite-based photoelectrochemical device. ACS Appl Mater Interfaces 2012;4:2295–301. https://doi.org/10.1021/am300395p.",301,FeO,Pt,Ag/AgCl,0.5,300,410,100,0,NaOH,1,13.6,1.85,RHE,0.806,0,0.806,0.0337
3,36,2,"Wang P, Wang D, Lin J, Li X, Peng C, Gao X, et al. Lattice defect-enhanced hydrogen production in nanostructured hematite-based photoelectrochemical device. ACS Appl Mater Interfaces 2012;4:2295–301. https://doi.org/10.1021/am300395p.",301,FeO,Pt,Ag/AgCl,0.5,300,410,100,0,NaOH,1,13.6,1.85,RHE,0.897,0,0.897,0.0887
4,37,2,"Wang P, Wang D, Lin J, Li X, Peng C, Gao X, et al. Lattice defect-enhanced hydrogen production in nanostructured hematite-based photoelectrochemical device. ACS Appl Mater Interfaces 2012;4:2295–301. https://doi.org/10.1021/am300395p.",301,FeO,Pt,Ag/AgCl,0.5,300,410,100,0,NaOH,1,13.6,1.85,RHE,0.992,0,0.992,0.168
5,38,2,"Wang P, Wang D, Lin J, Li X, Peng C, Gao X, et al. Lattice defect-enhanced hydrogen production in nanostructured hematite-based photoelectrochemical device. ACS Appl Mater Interfaces 2012;4:2295–301. https://doi.org/10.1021/am300395p.",301,FeO,Pt,Ag/AgCl,0.5,300,410,100,0,NaOH,1,13.6,1.85,RHE,1.09,0,1.09,0.309
6,39,2,"Wang P, Wang D, Lin J, Li X, Peng C, Gao X, et al. Lattice defect-enhanced hydrogen production in nanostructured hematite-based photoelectrochemical device. ACS Appl Mater Interfaces 2012;4:2295–301. https://doi.org/10.1021/am300395p.",301,FeO,Pt,Ag/AgCl,0.5,300,410,100,0,NaOH,1,13.6,1.85,RHE,1.19,0,1.19,0.458
7,40,2,"Wang P, Wang D, Lin J, Li X, Peng C, Gao X, et al. Lattice defect-enhanced hydrogen production in nanostructured hematite-based photoelectrochemical device. ACS Appl Mater Interfaces 2012;4:2295–301. https://doi.org/10.1021/am300395p.",301,FeO,Pt,Ag/AgCl,0.5,300,410,100,0,NaOH,1,13.6,1.85,RHE,1.29,0,1.29,0.644
8,41,2,"Wang P, Wang D, Lin J, Li X, Peng C, Gao X, et al. Lattice defect-enhanced hydrogen production in nanostructured hematite-based photoelectrochemical device. ACS Appl Mater Interfaces 2012;4:2295–301. https://doi.org/10.1021/am300395p.",301,FeO,Pt,Ag/AgCl,0.5,300,410,100,0,NaOH,1,13.6,1.85,RHE,1.4,0,1.4,0.865
9,42,2,"Wang P, Wang D, Lin J, Li X, Peng C, Gao X, et al. Lattice defect-enhanced hydrogen production in nanostructured hematite-based photoelectrochemical device. ACS Appl Mater Interfaces 2012;4:2295–301. https://doi.org/10.1021/am300395p.",301,FeO,Pt,Ag/AgCl,0.5,300,410,100,0,NaOH,1,13.6,1.85,RHE,1.5,0,1.5,1
